acknowledgement_issue_title,network_abbr_name,acknowledgement_date_added,cds_cloud,is_hidden,start_time,time_active,description,node_ticketing_cloud,external_network_id,is_lightweight,time_to_acknowledge,nagios_url,issue_url,acknowledgement_username,external_project_id,external_issue_id,color,service_name,service_group,external_node_id,device,is_alert_stale,external_interface_id,classify_is_oncall,date_added,acknowledgement_description,host_group,alert_id,end_time,is_major_event,last_updated,acknowledgement_alert_membership_id,external_bgp_peer_id,node_name,duration,ticketing_url,network_id,host_check_pending_duration,network_name,agent_username,acknowledgement_ticketing_cloud,acknowledgement_is_classify_ticket_auto_create,network_display_name,database_url,acknowledgement_id,acknowledgement_user_id,agent_name,node_id,acknowledgement_is_active,root_cause_alert_id,flaps,severity,num_flaps,acknowledgement_external_project_id,network_profiles,agent_is_active,agent_id
NA,AMP,NA,GlobalNOC,0,2025-01-31T18:13:13Z,34,"Error performing SNMP query for description to 190.103.186.150: No response from remote host ""170.39.8.19""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 31,NA,43803,31,0,2898745,0,2025-01-31T18:14:30Z,NA,Ampath Layer 2,199268332,2025-01-31T18:15:04Z,0,2025-01-31T18:14:30Z,NA,NA,SCL-CIR-SW03,111,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579535021,NA,NA,,Unknown,0,NA,,1,19
Brief Outage - AMPATH Monet Circuit MON-FIU/FTZ-SP3_WAVE-002,AMP,1738338044,GlobalNOC,0,2025-01-31T15:27:45Z,3494,"In case of failure, contact Angola Cables",GlobalNOC,7,0,779,https://nocmon.grnoc.iu.edu/nagios/,https://globalnoc.service-now.com/nav_to.do?uri=incident.do?sys_id=867986fbc3df92d0c2ad319f05013117,lcfreder,59,INC0201779,red,CIRCUIT,Contact Lanautilus,NA,1193571,0,NA,0,2025-01-31T15:27:45Z,NA,Ampath Layer 2,199260342,2025-01-31T16:25:59Z,0,2025-01-31T16:25:36Z,101042202,NA,MON-FIU/FTZ-SP3_WAVE-002,3494,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,GlobalNOC,0,AMP,https://db2.grnoc.iu.edu/db-gnui,41436892,40231,nocmon,580143742,1,NA,,Critical,0,59,,1,19
Brief Outage - AMPATH Monet Circuit MON-FIU/FTZ-SP3_WAVE-002,AMP,1738338084,GlobalNOC,0,2025-01-31T15:27:03Z,3471,ALARM [CLEARED] - Link to et-0/1/4,GlobalNOC,7,0,819,https://nocmon.grnoc.iu.edu/nagios/,https://globalnoc.service-now.com/nav_to.do?uri=incident.do?sys_id=867986fbc3df92d0c2ad319f05013117,lcfreder,59,INC0201779,green,INTF - et-0/1/4,Contact Lanautilus,38739,et-0/1/4,0,2311299,0,2025-01-31T15:27:45Z,Automatically acknowledging to same parent alert - MON-FIU/FTZ-SP3_WAVE-002:CIRCUIT,Ampath Layer 2,199260332,2025-01-31T16:25:36Z,0,2025-01-31T16:25:36Z,101042212,NA,FOR-ACB-SW01,3513,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,GlobalNOC,0,AMP,https://db2.grnoc.iu.edu/db-gnui,41436902,40231,nocmon,579071832,1,199260342,,Critical,0,59,,1,19
NA,AMP,NA,GlobalNOC,0,2025-01-31T14:10:51Z,20,"Error performing SNMP query for description to 190.103.186.152: No response from remote host ""170.39.8.19""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 114,NA,45931,114,0,2788681,0,2025-01-31T14:12:14Z,NA,Ampath Layer 2,199257132,2025-01-31T14:12:34Z,0,2025-01-31T14:12:14Z,NA,NA,SAO-SP4-SW04,103,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579558892,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2025-01-31T11:15:01Z,46,"Error performing SNMP query for description to 190.103.186.150: No response from remote host ""170.39.8.19""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 32,NA,43803,32,0,2827402,0,2025-01-31T11:16:06Z,NA,Ampath Layer 2,199247052,2025-01-31T11:16:52Z,0,2025-01-31T11:16:06Z,NA,NA,SCL-CIR-SW03,111,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579535021,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2025-01-31T08:17:23Z,23,"Error performing SNMP query for description to 192.168.220.3: No response from remote host ""170.39.8.19""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 31,NA,47620,31,0,2989815,0,2025-01-31T08:18:30Z,NA,Ampath Layer 2,199238422,2025-01-31T08:18:53Z,0,2025-01-31T08:18:30Z,NA,NA,ATL-LUM-SW01,90,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579579362,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2025-01-31T05:33:51Z,23,"Error performing SNMP query for description to 190.103.186.157: No response from remote host ""170.39.8.19""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 32,NA,46795,32,0,2827372,0,2025-01-31T05:34:58Z,NA,Ampath Layer 2,199220452,2025-01-31T05:35:21Z,0,2025-01-31T05:34:58Z,NA,NA,MIA-MI1-SW15,90,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567012,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2025-01-31T00:59:30Z,19,"Error performing SNMP query for description to 190.103.186.157: No response from remote host ""170.39.8.19""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 9,NA,46795,9,0,2796595,0,2025-01-31T01:00:42Z,NA,Ampath Layer 2,199207972,2025-01-31T01:01:01Z,0,2025-01-31T01:00:42Z,NA,NA,MIA-MI1-SW15,91,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567012,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2025-01-30T23:20:46Z,40,SAX - Miami,GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,red,CIRCUIT,Contact Lanautilus,NA,1169437,0,NA,0,2025-01-30T23:20:46Z,NA,Ampath Layer 2,199204292,2025-01-30T23:21:26Z,0,2025-01-30T23:20:46Z,NA,NA,FIU030WMI2FORNN,40,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,580147902,NA,NA,,Critical,0,NA,,1,19
Brief Outage - AMPATH Monet Circuits MON- FIU/MI3-SP3_WAVE-001 and MON-FIU/FTZ-SP3_WAVE-002,AMP,1738249296,GlobalNOC,0,2025-01-30T14:57:42Z,3544,"In case of failure, contact Angola Cables",GlobalNOC,7,0,234,https://nocmon.grnoc.iu.edu/nagios/,https://globalnoc.service-now.com/nav_to.do?uri=incident.do?sys_id=7e4f98efc3d792d004e4fedf050131a6,djmedina,59,INC0201624,red,CIRCUIT,Contact Lanautilus,NA,1193571,0,NA,0,2025-01-30T14:57:42Z,Automatically acknowledging to same parent alert - MON-FIU/FTZ-SP3_WAVE-002:CIRCUIT,Ampath Layer 2,199155442,2025-01-30T15:56:46Z,0,2025-01-30T15:56:30Z,100986932,NA,MON-FIU/FTZ-SP3_WAVE-002,3544,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,GlobalNOC,0,AMP,https://db2.grnoc.iu.edu/db-gnui,41421332,39801,nocmon,580143742,1,NA,,Critical,0,59,,1,19
